date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:14	11009/11009	---MC-	200	added ('OK')	text/html	date:Sun,%2031%20Mar%202019%2001:37:13%20GMT	http://137.117.99.246/hehe/	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/index.html	(from )
22:37:14	1047/1047	---MC-	403	error ('Forbidden')	text/html	date:Sun,%2031%20Mar%202019%2001:37:13%20GMT	http://137.117.99.246/robots.txt		(from )
22:37:15	3822/3822	---M--	200	added ('OK')	image/png	etag:%225ac99deb-eee%22	https://bootstraplogos.com/wp-content/uploads/edd/2018/04/logo-3.png	C:/Meus%20Sites/NUNCANEMVI/bootstraplogos.com/wp-content/uploads/edd/2018/04/logo-3.png	(from http://137.117.99.246/hehe/)
22:37:16	261/261	---M--	200	added ('OK')	text/css	etag:%22105-5713437906000%22	http://137.117.99.246/hehe/app-assets/css/vendors.min.css	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/css/vendors.min.css	(from http://137.117.99.246/hehe/)
22:37:16	112/112	---M--	200	added ('OK')	text/css	etag:%2270-5713434586680%22	http://137.117.99.246/hehe/app-assets/css/app.min.css	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/css/app.min.css	(from http://137.117.99.246/hehe/)
22:37:17	74167/74167	---M--	200	added ('OK')	text/css	etag:%22121b7-57130ecdf9d80%22	http://137.117.99.246/hehe/app-assets/css/core/colors/palette-gradient.min.css	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/css/core/colors/palette-gradient.min.css	(from http://137.117.99.246/hehe/)
22:37:19	775/775	---M--	200	added ('OK')	text/html	etag:%22307-58386d9fbe66c%22	http://137.117.99.246/hehe/tutorial.html	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/tutorial.html	(from http://137.117.99.246/hehe/)
22:37:19	4980/4980	---M--	200	added ('OK')	application/javascript	etag:%221374-5852fe785c0bd%22	http://137.117.99.246/hehe/app-assets/js/checker.js	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/js/checker.js	(from http://137.117.99.246/hehe/)
22:37:21	642/642	---M--	200	added ('OK')	application/javascript	etag:%22282-57130ecfe2200%22	http://137.117.99.246/hehe/app-assets/js/scripts/forms/switch.min.js	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/js/scripts/forms/switch.min.js	(from http://137.117.99.246/hehe/)
22:37:23	15091/15091	---M--	200	added ('OK')	application/javascript	etag:%223af3-57130ecdf9d80%22	http://137.117.99.246/hehe/app-assets/js/core/app-menu.min.js	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/js/core/app-menu.min.js	(from http://137.117.99.246/hehe/)
22:37:24	24437/24437	---M--	200	added ('OK')	application/javascript	etag:%225f75-56f79ad7e1300%22	http://137.117.99.246/hehe/app-assets/vendors/js/forms/toggle/switchery.min.js	C:/Meus%20Sites/NUNCANEMVI/137.117.99.246/hehe/app-assets/vendors/js/forms/toggle/switchery.min.js	(from http://137.117.99.246/hehe/)
